Class,Mean Error,Median Error,Mean Confidence,Missed Detections,Extra Detections
0.0,7.575929522514343,7.1892406940460205,0.7999627419880458,0.0,0.0
1.0,4.485065151344646,4.606769800186157,0.826016596772454,0.0,0.0
2.0,4.561484704415004,4.131951570510864,0.8050351540247599,0.0,0.0
3.0,4.336311919348581,4.116368770599365,0.821914499714261,0.0,0.0
4.0,7.1488111813863116,7.49531364440918,0.7889072034094069,0.0,0.0
5.0,3.324856734275818,3.1763001680374146,0.9210966110229493,0.0,0.0
6.0,5.214370728893713,2.981632113456726,0.9037114192139019,0.0,0.0
7.0,3.55757298734453,3.3140411376953125,0.8400562339358859,0.0,0.0
8.0,5.700925350189209,4.77530574798584,0.7801421483357748,0.0,0.0
9.0,4.554173680869016,4.850259304046631,0.8707868131724271,0.0,0.0
15.0,2.8305707926099952,2.437385678291321,0.9005271954969927,0.0,0.0
17.0,5.200753152370453,5.644550800323486,0.7599812597036362,0.0,0.0
20.0,3.620845580101013,3.084685444831848,0.8112504303455352,0.0,0.0
22.0,6.125575582186381,5.5267791748046875,0.8163418240017362,0.0,0.0
24.0,2.6460288643836973,2.5782454013824463,0.7930821895599365,0.0,0.0
25.0,5.168337266234791,4.686440467834473,0.8635727693052853,0.0,0.0
29.0,6.717146287858486,4.651923656463623,0.8583168372511863,0.0,0.0
30.0,4.746234711478738,4.220128536224365,0.7929408024339115,0.0,0.0
31.0,8.848610311746597,9.135565757751465,0.8370535910129547,0.0,0.0
32.0,6.182539910078049,6.85127329826355,0.8101387545466423,0.0,0.0
34.0,9.079711278279623,8.419129371643066,0.8042424519856771,0.0,0.0
36.0,5.047588562264162,4.769801616668701,0.8137220740318298,0.0,0.0
37.0,5.163157939910889,5.163157939910889,0.8309386372566223,0.0,0.0
38.0,2.5242625016432543,2.2948203086853027,0.8572997450828552,0.0,0.0
39.0,2.16871091320708,2.0477869510650635,0.9010599626077188,0.0,0.0
40.0,7.858369853761461,7.769299030303955,0.752839121553633,0.0,0.0
41.0,4.515786145130793,4.210720062255859,0.8379515250523885,0.0,0.0
42.0,6.5998587012290955,6.371082067489624,0.84940554946661,0.0,0.0
43.0,8.239298918030478,7.781249523162842,0.8455407131801952,0.0,0.0
44.0,3.299578694196848,2.971315026283264,0.8212222158908844,0.0,0.0
45.0,3.2508744679391386,3.2074605226516724,0.8712799578905106,0.0,0.0
46.0,2.796667128801346,2.9198886156082153,0.8695007537802061,0.0,0.0
47.0,8.061745643615723,8.061745643615723,0.8325621485710144,0.0,0.0
49.0,8.557625821658544,5.408957481384277,0.8322513060910361,0.0,0.0
50.0,5.447825610637665,5.73926043510437,0.7995714992284775,0.0,0.0
51.0,2.97492714361711,3.0213165283203125,0.8644899400797758,0.0,0.0
52.0,4.639578541119893,3.6935713291168213,0.9098061869541804,0.0,0.0
53.0,4.307382822036743,3.57980477809906,0.8584482997655869,0.0,0.0
55.0,8.225096437666151,7.434065818786621,0.7998167938656278,0.0,0.0
57.0,6.316405522195916,5.983343601226807,0.8437862709948891,0.0,0.0
60.0,3.861050905925887,3.495505213737488,0.8313480317592621,0.0,0.0
61.0,6.884070733014275,6.331670761108398,0.8724301106789533,0.0,0.0
62.0,2.5471851378679276,1.9673072695732117,0.7984980568289757,0.0,0.0
64.0,2.4292731832626253,2.3005053997039795,0.8693208791488825,0.0,0.0
68.0,4.369207561016083,4.6995415687561035,0.7541441321372986,0.0,0.0
71.0,4.622219667715185,4.1211347579956055,0.8068764770732206,0.0,0.0
74.0,7.408269425233205,7.484844923019409,0.7484316031138102,0.0,0.0
75.0,3.4143981453445225,2.9380133152008057,0.8831587102678087,0.0,0.0
76.0,6.296451363298628,6.484143972396851,0.8169153498278724,0.0,0.0
77.0,8.670490741729736,8.670490741729736,0.763233870267868,0.0,0.0
78.0,4.827844631671906,5.375781774520874,0.8536076207955678,0.0,0.0
80.0,7.636507868766785,9.348847389221191,0.7814262509346008,0.0,0.0
81.0,2.870519264539083,2.3518786430358887,0.8093512892723084,0.0,0.0
82.0,5.661284351348877,5.529719352722168,0.8063846290111542,0.0,0.0
84.0,4.613865277346442,5.087733268737793,0.7804511364768533,0.0,0.0
85.0,2.8783329501748085,2.9903392791748047,0.8879700208252127,0.0,0.0
86.0,3.1391759239710293,3.0594773292541504,0.8631077515773284,0.0,0.0
87.0,7.5801942348480225,7.5801942348480225,0.7989247143268585,0.0,0.0
89.0,5.8490237322720615,4.795905113220215,0.8248285922137174,0.0,0.0
90.0,4.3063168078660965,4.182155132293701,0.795851893723011,0.0,0.0
91.0,3.166238793620357,2.8192811012268066,0.9208827416102091,0.0,0.0
92.0,4.664513603846232,4.40001916885376,0.831987198193868,0.0,0.0
93.0,6.7818824127316475,6.947721481323242,0.8626464009284973,0.0,0.0
94.0,3.6413278121214647,2.969757318496704,0.7984222769737244,0.0,0.0
95.0,9.26622682147556,9.577780723571777,0.7644489937358432,0.0,0.0
96.0,4.701622024178505,4.672696590423584,0.8959835643569628,0.0,0.0
97.0,5.450238227844238,5.450238227844238,0.8013994097709656,0.0,0.0
100.0,3.6992352390289307,3.5714733600616455,0.9307482004165649,0.0,0.0
101.0,3.9045876595709057,4.573256015777588,0.8154338134659661,0.0,0.0
102.0,6.49845278263092,4.917814016342163,0.8063833713531494,0.0,0.0
103.0,4.119729337521962,4.308781147003174,0.838556957244873,0.0,0.0
104.0,5.166384619825027,5.121256351470947,0.813607773360084,0.0,0.0
106.0,6.2904501080513,5.809743404388428,0.8445696473121643,0.0,0.0
107.0,7.098976522684097,7.272786855697632,0.8046178892254829,0.0,0.0
108.0,7.6208720207214355,7.6208720207214355,0.7307582497596741,0.0,0.0
109.0,4.050748063170391,3.6085097789764404,0.8605975741925447,0.0,0.0
110.0,2.3957602977752686,2.3957602977752686,0.7446224093437195,0.0,0.0
112.0,5.023193621635437,4.572610259056091,0.8338982164859772,0.0,0.0
113.0,3.6840521599117078,3.300601840019226,0.8676072170859889,0.0,0.0
114.0,0.7238761186599731,0.7238761186599731,0.7563714385032654,0.0,0.0
115.0,7.121136506398519,5.921131610870361,0.7610353032747904,0.0,0.0
116.0,12.244416183087884,5.002512454986572,0.8823367444480338,0.0,0.0
